Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2021:Q4,Other,15638067,5384928,4726979,657949,10253139,1393122,131646,208524,207239,1285,124721,107562,17159,3945867,226750,246998,1158772,1408214,1260810,147715,2437134,2432546,1746460,598726,32911,54449,4588,13200933,15756888
2022:Q1,White,134753644,38796110,33180800,5615310,95957534,12741800,2441458,2504159,2504159,0,1115411,1052873,62537,36110080,1582297,1947488,8384219,14054354,13979439,1096830,12694821,12663249,8654959,3013645,262234,732410,31573,122058823,86928214
2022:Q1,Black,6647963,2687474,2151497,535977,3960489,386509,38320,31306,31306,0,46023,45596,427,298035,136242,270104,507631,1767597,350306,128415,1473217,1470360,772109,664857,14421,18974,2857,5174745,15866548
2022:Q1,Hispanic,4374321,2395362,1971515,423848,1978958,351584,20702,20612,20612,0,1829,1556,273,241253,44137,93431,265286,589876,279991,70257,1125415,1124451,799649,294982,11283,18536,965,3248905,12146832
2022:Q1,Other,16011733,5935656,5238522,697134,10076077,1405319,129362,225725,225725,0,131409,113875,17534,3812101,227400,242654,1114213,1368113,1270830,148951,2493547,2488748,1792470,603498,36279,56502,4798,13518186,15895825
2022:Q2,White,129960515,40706020,34981533,5724486,89254495,12642157,2493358,2706130,2706130,0,1079378,1019623,59755,29935678,1562217,1847448,7483793,13792492,14595724,1116121,12929244,12898217,8836999,3099574,275779,685865,31026,117031271,87322611
2022:Q2,Black,6474746,2789340,2254645,534695,3685406,370380,38643,32334,32334,0,43906,43533,373,246617,129754,249601,389026,1691550,364715,128881,1491573,1488905,778100,678027,16208,16570,2668,4983173,15504672
2022:Q2,Hispanic,4425887,2519755,2087387,432368,1906132,346303,21480,22181,22181,0,1320,1186,134,208422,43381,86698,233009,579522,293024,70791,1150908,1149966,824381,297805,11084,16696,943,3274979,12206381
2022:Q2,Other,15561003,6215276,5500255,715021,9345726,1397529,130033,252048,252048,0,129200,111440,17760,3206415,226210,235496,1005273,1310436,1301918,151168,2567455,2562702,1844973,618737,41491,57501,4753,12993548,16036178
2022:Q3,White,127572917,39984757,34135592,5849164,87588160,12461762,2574108,3167611,3167611,0,1025408,967881,57526,28444086,1564598,1785338,7189939,13630935,14606206,1138169,13159151,13128056,8994932,3171304,283221,678599,31095,114413765,87725176
