Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2014:Q1,Next40,31.3,41.9,42.2,40.6,27.2,33.2,21.1,15.9,15.8,16.3,8.6,7.2,20.5,13.4,34.7,31.5,43.8,43.7,14.8,49.3,41.3,41.3,46.1,33,18.6,16.7,35.4,29.6,49297747,
2014:Q1,Bottom50,5.9,14.7,12.6,23.4,2.5,4.8,1.3,1,1,0.9,0.4,0.1,3.8,0.8,8.1,1.5,5.6,1.7,1.4,19.5,35.1,35.2,28.2,57.5,57.2,24,8.7,0.9,61655191,
2014:Q2,TopPt1,10.8,4.5,3.7,8.2,13.2,9.9,9.1,21.3,21.1,21.7,18,17.8,19.2,23.3,8.1,0.2,2.1,0.3,25.3,2.4,0.6,0.6,0.4,0.4,5.2,3.4,5.1,12.5,123375,
2014:Q2,RemainingTop1,16,10.3,10.9,7.3,18.2,16.1,22.1,24.7,24.7,24.6,37.7,39.4,22.6,26.5,18.5,8.9,11.5,6,24.4,6.3,4,4,3.9,1.5,5,17.7,20,18,1111830,
2014:Q2,Next9,36.4,28.7,30.6,20.3,39.3,36.3,45.9,36.9,37.2,36,35.5,35.5,34.7,36.3,30.3,58.2,37.5,48.5,34.3,22.4,19,19,21.5,7.9,14.9,37.7,31.1,39.3,11125824,
2014:Q2,Next40,31,41.9,42.2,40.8,26.9,32.9,21.6,16.2,16,16.8,8.5,7.2,20.1,13.1,35,31.2,43.4,43.5,14.7,49.3,41.7,41.7,46.5,33.4,19.2,17,35.1,29.3,49434225,
2014:Q2,Bottom50,5.8,14.6,12.6,23.4,2.4,4.8,1.3,1,1,0.9,0.4,0.1,3.4,0.8,8.2,1.4,5.5,1.7,1.4,19.5,34.7,34.8,27.6,56.8,55.7,24.2,8.7,1,61823491,
2014:Q3,TopPt1,10.8,4.6,3.7,8.4,13.2,9.9,9.2,20.9,20.7,21.5,18.5,18.4,19,23.3,7.9,0.3,2.2,0.3,25.5,2.4,0.6,0.6,0.4,0.5,5.3,3.6,4.9,12.5,123696,
2014:Q3,RemainingTop1,16,10.3,11,7.2,18.2,16.5,21.7,24.7,24.8,24.6,35.2,36.6,21.9,26.7,18.2,8.4,11.6,5.7,24.9,6.4,4.1,4,4,1.5,5.9,19.4,19.1,18,1114751,
2014:Q3,Next9,36.4,28.7,30.6,20,39.4,36.2,45.9,37.1,37.3,36.3,37.2,37.3,36.2,36.2,30.4,58.6,37.8,48.9,33.7,22.4,18.8,18.8,21.5,7.9,14.5,38,31.2,39.3,11154350,
2014:Q3,Next40,31.1,42.1,42.3,41,26.8,32.6,22,16.3,16.2,16.7,8.8,7.6,19.7,13.1,35.3,31.3,42.9,43.4,14.5,49.3,42.1,42.1,46.9,33.7,19.6,15.7,36.1,29.2,49562517,
2014:Q3,Bottom50,5.8,14.4,12.3,23.3,2.4,4.8,1.3,1,1,0.9,0.4,0.1,3.1,0.8,8.2,1.4,5.5,1.7,1.3,19.5,34.5,34.5,27.2,56.5,54.8,23.2,8.8,1,61980920,
2014:Q4,TopPt1,10.9,4.6,3.7,8.8,13.3,10,9.3,20.4,20.2,21.3,18.5,18.5,18.8,23.4,7.8,0.3,2.3,0.3,25.7,2.4,0.6,0.6,0.4,0.5,5.3,3.6,4.7,12.6,124007,
2014:Q4,RemainingTop1,16.1,10.4,11.1,7.1,18.3,16.8,21.3,24.8,24.9,24.5,35.4,36.9,21.3,26.9,18,7.8,11.7,5.5,25.4,6.4,4.1,4.1,4,1.7,7.2,19.4,18.2,18.1,1117495,
2014:Q4,Next9,36.4,28.7,30.8,19.7,39.4,36.2,45.8,37.3,37.5,36.9,37.3,37.2,37.7,36.1,30.5,59.5,38.1,49.3,33.2,22.4,18.7,18.7,21.5,8,14.1,38.1,31.2,39.3,11181148,
2014:Q4,Next40,30.9,42.2,42.4,41.1,26.5,32.3,22.3,16.4,16.4,16.4,8.5,7.3,19.4,12.9,35.6,31,42.5,43.3,14.4,49.4,42.4,42.4,47.3,34.1,20.3,15.7,36.9,29,49683448,
