Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2021:Q4,Bottom50,5.6,13.1,11.3,23.4,2.6,5.5,0.8,0.9,0.9,0.5,0.3,0.3,0.5,1,7.8,2,5.3,2.5,1.1,20.8,31.4,31.5,22.8,53.9,36.6,30.4,8.7,2.4,65313076,
2022:Q1,TopPt1,12.1,4.6,4,7.6,15.5,10.4,13.5,16.4,16.4,NA,28.1,27.8,33.3,23.3,10.8,2.3,1.2,1.4,28.6,2.5,1,1,0.5,0.8,2.6,7.1,6.4,13.5,131107,
2022:Q1,RemainingTop1,15.5,9,9.7,5,18.5,13.8,18.4,21.3,21.3,NA,21.1,21.8,10.9,26.8,17.9,7.2,10.6,4.8,24.3,5.5,4.2,4.2,3.3,2,25.9,20.9,18.7,16.9,1176475,
2022:Q1,Next9,34.9,29.4,30.7,21.6,37.3,34.7,42.6,40.6,40.6,NA,36.1,36.7,26.8,37.2,30.5,48.8,44.3,39.9,31.9,22.3,19,19,23,9.2,10.7,17.7,31.7,36.8,11774108,
2022:Q1,Next40,31.7,44.4,44.8,42.3,26.1,35.6,24.7,20.7,20.7,NA,14.3,13.4,28.6,11.8,33,39.5,38.6,51.3,14.1,48.9,44.3,44.3,50.1,34.2,25.4,23.4,34.6,30.2,52328442,
2022:Q1,Bottom50,5.7,12.7,10.9,23.5,2.6,5.5,0.8,0.9,0.9,NA,0.3,0.3,0.4,1,7.9,2.1,5.3,2.6,1.1,20.8,31.5,31.6,23.1,53.7,35.4,30.9,8.7,2.5,65427287,
2022:Q2,TopPt1,11.7,4.5,4.1,7.5,15.2,10.4,13.9,16.8,16.8,NA,28,27.5,34.7,22.8,10.9,2.9,1.2,1.6,28.8,2.5,1,1,0.5,0.9,2.6,7.5,6.4,13.1,131261,
2022:Q2,RemainingTop1,15,8.9,9.5,5,18,13.7,18,21,21,NA,21.4,22.1,10.6,26.5,17.5,7.8,10.8,4.8,24.2,5.5,4.2,4.1,3.1,2.1,27.2,22.4,17.9,16.4,1178718,
2022:Q2,Next9,34.5,29.4,30.6,21.7,37.1,34.7,42.4,40.6,40.6,NA,35.8,36.5,26.1,37.5,30.6,45.1,45,38.9,31.9,22.2,19,19,23,9.6,11,15.8,31.9,36.5,11794701,
2022:Q2,Next40,32.8,44.6,44.9,42.3,26.9,35.7,24.8,20.8,20.8,NA,14.4,13.5,28.2,12.2,33.1,41.9,37.8,52.1,14.1,49.1,44.3,44.3,50.1,34.4,25.2,22.8,35,31.3,52421962,
2022:Q2,Bottom50,6,12.7,10.9,23.5,2.7,5.5,0.9,0.9,0.9,NA,0.3,0.3,0.4,1,7.9,2.3,5.2,2.6,1,20.8,31.5,31.6,23.3,53,34,31.5,8.7,2.7,65543199,
2022:Q3,TopPt1,11.7,4.6,4.1,7.5,15.2,10.3,14.4,17.3,17.3,NA,27.8,27.3,36,22.7,11,3.4,1.1,1.7,28.6,2.5,1,1,0.5,0.9,2.7,7.5,6.5,13.1,131406,46277049
2022:Q3,RemainingTop1,14.8,8.7,9.4,4.9,17.9,13.6,17.7,20.5,20.5,NA,22.3,23.1,10.3,26.2,17.3,8.4,11,4.8,24.4,5.4,4.1,4.1,2.9,2.2,28.4,23.2,17.6,16.3,1181029,11200774
2022:Q3,Next9,34.4,29.3,30.6,21.8,36.9,34.7,42.2,40.6,40.6,NA,35.1,35.8,25.6,37.6,30.7,41.8,45.3,37.9,31.7,22.1,19.2,19.1,23.1,9.9,11.3,15,32.1,36.4,11815628,2153046
2022:Q3,Next40,33,44.5,44.9,42.4,27.3,35.8,24.8,20.8,20.8,NA,14.5,13.6,27.8,12.5,33.1,44,37.4,52.8,14.3,49.2,44.4,44.4,50.1,34.5,24.7,22.3,35.1,31.5,52517360,242645
2022:Q3,Bottom50,6.1,12.9,11.1,23.4,2.7,5.5,0.9,0.8,0.8,NA,0.3,0.3,0.3,1,7.9,2.5,5.1,2.7,1,20.9,31.4,31.4,23.3,52.5,33,32,8.8,2.7,65661032,
2022:Q4,TopPt1,11.8,4.6,4.1,7.6,15.3,10.2,14.9,18,18,NA,27.8,27.2,36.2,22.8,11,3.3,1.1,1.8,28.5,2.5,1,1,0.5,1,2.5,8.2,6.3,13.3,131713,
2022:Q4,RemainingTop1,15,8.7,9.4,4.9,18,13.6,17.8,20.1,20.1,NA,23.6,24.5,10.3,26.3,17.3,8.3,11,4.8,24.5,5.4,4.1,4,2.8,2.2,28.7,25.1,16.2,16.5,1183786,
2022:Q4,Next9,34.4,29.3,30.7,21.7,36.9,34.8,42,40.6,40.6,NA,34.1,34.7,25.4,37.6,30.7,42,45.1,37.7,31.7,22,19.1,19.1,23.2,10,11.4,12.3,32.2,36.5,11843211,
2022:Q4,Next40,32.7,44.4,44.8,42.4,27.1,35.8,24.5,20.6,20.6,NA,14.2,13.3,27.8,12.4,33,43.8,37.7,53,14.4,49.2,44.4,44.5,50.1,34.7,25.2,22.1,36.4,31.1,52639960,
2022:Q4,Bottom50,6,13,11.1,23.5,2.7,5.5,0.9,0.7,0.7,NA,0.3,0.3,0.3,1,7.9,2.5,5.2,2.7,1,20.9,31.4,31.4,23.3,52.1,32.2,32.2,8.9,2.6,65814315,
2023:Q1,TopPt1,12,4.6,4.1,7.6,15.4,10.1,15.8,18.6,18.6,NA,27.8,27.2,36.2,23,11,3.1,1.1,1.8,28.3,2.5,1,1,0.6,1,2.8,8.3,6.4,13.5,132147,
2023:Q1,RemainingTop1,15.1,8.7,9.4,4.9,18.1,13.5,18.1,19.8,19.8,NA,24.3,25.3,10.3,26.3,17.4,8.1,10.9,4.8,24.5,5.4,4,3.9,2.8,2.2,28.2,25.5,16.7,16.6,1187690,
2023:Q1,Next9,34.5,29.3,30.6,21.7,37,35,41.5,40.5,40.5,NA,33.4,34,25.4,37.5,30.7,43.4,44.8,37.8,31.6,22,19.3,19.3,23.5,10.1,11.2,11.8,32.1,36.6,11882272,
2023:Q1,Next40,32.4,44.4,44.8,42.4,26.7,35.9,23.8,20.5,20.5,NA,14.1,13.1,27.8,12.3,32.9,42.9,37.9,53,14.5,49.2,44.5,44.5,50.1,34.7,24.5,22.1,35.9,30.7,52813577,
2023:Q1,Bottom50,6,13,11.1,23.5,2.7,5.5,0.9,0.6,0.6,NA,0.3,0.3,0.3,1,7.9,2.4,5.2,2.7,1,20.9,31.2,31.3,23.1,52.1,33.3,32.3,8.9,2.6,66031384,
2023:Q2,TopPt1,12,4.6,4,7.6,15.6,10,16.3,18.7,18.7,NA,27.8,27.2,36.3,23.1,11.1,3,1.1,1.7,28.4,2.5,1,1,0.6,1,2.9,8.2,6.4,13.5,132276,
2023:Q2,RemainingTop1,15.2,8.7,9.4,4.9,18.3,13.5,18.2,19.7,19.7,NA,24.3,25.3,10.3,26.3,17.4,8,10.9,4.8,24.5,5.4,3.9,3.9,2.7,2.2,28.1,25.2,16.7,16.6,1188846,
2023:Q2,Next9,34.5,29.2,30.5,21.7,37.1,35.1,41.2,40.5,40.5,NA,33.5,34,25.3,37.5,30.8,44.5,44.6,37.9,31.7,22,19.4,19.4,23.6,10.2,11.2,12.3,32.1,36.5,11893839,
2023:Q2,Next40,32.4,44.9,45.3,42.4,26.4,35.9,23.4,20.5,20.5,NA,14.1,13.2,27.8,12.1,32.9,42.2,38.2,52.9,14.4,49.2,44.5,44.5,50.1,34.9,24.2,22.1,35.9,30.8,52864990,
2023:Q2,Bottom50,5.8,12.6,10.7,23.5,2.6,5.5,0.9,0.6,0.6,NA,0.3,0.3,0.3,1,7.9,2.3,5.2,2.7,1,20.9,31.1,31.2,23.1,51.7,33.6,32.2,8.9,2.5,66095664,
2023:Q3,TopPt1,11.9,4.6,4,7.6,15.5,10,16.7,18.7,18.7,NA,27.8,27.1,36.3,23,11,2.5,1.1,1.8,28.4,2.5,1,1,0.6,1,2.9,8,6.4,13.4,132214,
2023:Q3,RemainingTop1,15.1,8.7,9.4,4.9,18.2,13.5,18.3,19.7,19.7,NA,26.2,27.4,10.3,26.3,17.4,7.5,10.9,4.8,24.5,5.4,3.9,3.8,2.7,2.2,28.1,24.4,17.1,16.6,1188286,
2023:Q3,Next9,34.5,29.2,30.5,21.7,37.1,35.2,41,40.5,40.5,NA,31.9,32.4,25.4,37.5,30.8,47.7,44.8,37.7,31.7,22,19.5,19.5,23.6,10.3,11.1,13.3,32.1,36.5,11888234,
2023:Q3,Next40,32.6,45,45.4,42.4,26.5,35.9,23.1,20.5,20.5,NA,13.8,12.8,27.8,12.2,32.9,40.2,38,53,14.4,49.2,44.5,44.5,50,35.1,24.2,22.2,35.6,31,52840074,
2023:Q3,Bottom50,5.9,12.5,10.7,23.5,2.6,5.5,0.9,0.6,0.6,NA,0.3,0.3,0.3,1,7.9,2.1,5.2,2.7,1,20.9,31,31.1,23.2,51.4,33.7,32.2,8.8,2.5,66064513,
2023:Q4,TopPt1,12.1,4.6,4,7.7,15.6,10,17.1,19.1,19.1,NA,27.8,27.1,36.3,23.2,11.1,2.9,1.2,1.7,28.2,2.5,1,1,0.6,1,2.9,8,6.5,13.6,132281,
2023:Q4,RemainingTop1,15.3,8.7,9.4,4.8,18.3,13.5,18.4,19.4,19.4,NA,25.5,26.6,10.3,26.3,17.4,7.9,10.8,4.8,24.6,5.4,3.8,3.8,2.6,2.2,28.1,24.5,17.5,16.8,1188891,
2023:Q4,Next9,34.6,29.3,30.6,21.6,37.1,35.2,40.7,40.5,40.5,NA,32.5,33,25.3,37.4,30.8,44.7,44.4,38.1,31.6,22,19.6,19.6,23.7,10.4,11.2,13.1,32.1,36.6,11894284,
2023:Q4,Next40,32.2,44.9,45.3,42.4,26.3,35.9,22.8,20.4,20.4,NA,13.9,12.9,27.8,12.1,32.9,42.2,38.4,52.7,14.5,49.2,44.5,44.6,49.9,35.2,24.3,22.2,35.2,30.6,52866967,
2023:Q4,Bottom50,5.8,12.6,10.6,23.5,2.6,5.5,0.9,0.5,0.5,NA,0.3,0.3,0.3,1,7.9,2.3,5.2,2.7,1.1,21,31,31.1,23.2,51.1,33.6,32.2,8.8,2.5,66098136,
2024:Q1,TopPt1,12.2,4.6,4,7.8,15.7,10.1,17.2,19,19,NA,27.8,27.1,36.4,23.4,11.1,2.8,1.2,1.7,28.1,2.5,1,1,0.6,1,2.8,7.7,6.6,13.6,132717,
2024:Q1,RemainingTop1,15.4,8.7,9.4,4.8,18.5,13.5,18.5,19.5,19.5,NA,25.7,26.8,10.3,26.3,17.5,7.8,10.7,4.8,24.7,5.4,3.8,3.8,2.6,2.2,28.2,23.6,18.2,16.8,1192813,
2024:Q1,Next9,34.6,29.2,30.5,21.5,37.1,35.1,40.7,40.5,40.5,NA,32.4,32.9,25.2,37.3,30.8,45.6,44.1,38.1,31.5,21.9,19.7,19.7,23.8,10.3,11.2,14.4,32,36.5,11933523,
2024:Q1,Next40,32.2,45.3,45.8,42.4,26,35.9,22.7,20.4,20.4,NA,13.9,12.9,27.8,11.9,32.8,41.6,38.7,52.6,14.6,49.2,44.5,44.5,50,35.1,24.4,22.3,34.6,30.6,53041375,
2024:Q1,Bottom50,5.7,12.2,10.3,23.5,2.6,5.5,0.9,0.5,0.5,NA,0.3,0.3,0.2,1,7.8,2.3,5.2,2.7,1.1,21,30.9,31,23,51.4,33.4,32,8.7,2.5,66316194,
2024:Q2,TopPt1,12.1,4.5,4,7.8,15.8,10,17.3,19.2,19.2,NA,27.7,27.1,36.5,23.4,11.1,2.7,1.2,1.7,28.1,2.5,1,1,0.6,1,2.9,7.5,6.6,13.5,132995,
2024:Q2,RemainingTop1,15.3,8.8,9.4,4.8,18.5,13.5,18.5,19.4,19.4,NA,26.1,27.2,10.3,26.3,17.5,7.7,10.7,4.8,24.7,5.3,3.8,3.8,2.6,2.2,28.1,23.1,18.2,16.8,1195312,
2024:Q2,Next9,34.6,29.2,30.4,21.5,37.2,35.1,40.6,40.5,40.5,NA,32.1,32.6,25.2,37.3,30.8,46,44.1,38.1,31.6,21.9,19.8,19.8,23.9,10.4,11.2,15,32,36.4,11958526,
2024:Q2,Next40,32.3,45.6,46.1,42.4,25.9,35.9,22.6,20.4,20.4,NA,13.8,12.8,27.8,11.9,32.7,41.3,38.8,52.6,14.6,49.2,44.5,44.5,49.9,35.2,24.3,22.3,34.6,30.8,53152506,
2024:Q2,Bottom50,5.6,11.9,10,23.6,2.6,5.5,1,0.5,0.5,NA,0.3,0.3,0.2,1,7.8,2.2,5.2,2.7,1.1,21,30.9,30.9,23.1,51.2,33.6,32,8.7,2.5,66455138,
2024:Q3,TopPt1,12.4,4.5,4,7.8,16,10,17.7,19.4,19.4,NA,27.8,27.2,36.6,23.6,11.1,2.7,1.2,1.7,28.2,2.5,1,1,0.6,1,2.9,7.5,6.4,13.8,133190,
2024:Q3,RemainingTop1,15.5,8.8,9.4,4.8,18.7,13.5,18.6,19.3,19.3,NA,24.2,25.1,10.3,26.4,17.5,7.6,10.7,4.8,24.6,5.3,3.8,3.7,2.5,2.2,28.1,23.1,17.3,17,1197064,
2024:Q3,Next9,34.7,29.2,30.5,21.5,37.2,35.1,40.4,40.5,40.5,NA,33.6,34.2,25.1,37.2,30.8,46.6,43.9,38.2,31.6,21.9,19.8,19.8,23.9,10.3,11.1,15.1,32.1,36.5,11976055,
2024:Q3,Next40,31.8,45.6,46.1,42.4,25.6,35.9,22.3,20.4,20.4,NA,14.1,13.2,27.9,11.7,32.7,40.9,39,52.6,14.6,49.2,44.4,44.5,49.9,35.1,24.2,22.3,35.3,30.3,53230416,
2024:Q3,Bottom50,5.5,12,10.1,23.6,2.6,5.5,1,0.5,0.5,NA,0.3,0.3,0.2,1,7.8,2.2,5.2,2.7,1.1,21,31,31,23.1,51.3,33.7,32,8.8,2.4,66552546,
2024:Q4,TopPt1,12.4,4.5,4,7.8,16,10.1,18.2,19.1,19.1,NA,27.7,26.9,36.7,23.6,11.1,2.7,1.2,1.7,28.2,2.5,1,1,0.6,1,4.4,7.2,6.3,13.8,133378,
2024:Q4,RemainingTop1,15.6,8.7,9.4,4.8,18.7,13.5,18.7,19.4,19.4,NA,31.2,32.9,10.3,26.4,17.5,7.7,10.7,4.8,24.6,5.3,3.5,3.5,2.5,2.2,25.5,22.3,16.1,17,1198754,
2024:Q4,Next9,34.6,29.2,30.5,21.5,37.1,35,40.2,40.5,40.5,NA,27.9,28.1,24.9,37.2,30.8,46.3,43.9,38.2,31.6,21.9,20,20,24,10.2,10,16.2,32.2,36.4,11992960,
2024:Q4,Next40,31.8,45.5,46,42.4,25.6,35.9,22,20.4,20.4,NA,13,11.8,27.9,11.7,32.7,41.1,39,52.6,14.6,49.3,44.5,44.5,49.9,35,20.2,22.4,36.5,30.3,53305558,
2024:Q4,Bottom50,5.6,12.1,10.2,23.6,2.6,5.5,1,0.5,0.5,NA,0.3,0.3,0.2,1,7.8,2.2,5.2,2.7,1.1,21.1,30.9,31,23.1,51.5,39.9,31.9,8.9,2.5,66646494,
