Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2022:Q1,pct99to100,34177556,35496365,5456474,774035,15627967,624536,1282461,6295468,5435425,1318809,875794,126221,316794
2022:Q1,pct80to99,67837116,75406048,18441480,2563408,19453990,8608781,8103140,6415318,11819931,7568932,5529577,1429269,610086
2022:Q1,pct60to80,19666290,23896666,7928072,1591390,2818789,4591195,2242696,1269664,3454860,4230377,2932704,1191280,106393
2022:Q1,pct40to60,11849831,14427286,5365510,1129751,1440717,2391758,844325,1028141,2227085,2577455,1607607,880337,89511
2022:Q1,pct20to40,6295393,7629944,3183370,718946,438139,1326166,264171,346123,1353029,1334551,717250,584602,32699
2022:Q1,pct00to20,4174474,4931350,2167427,494739,681867,237504,88234,525852,735727,756876,356255,365274,35347
2022:Q2,pct99to100,31361099,32703114,5741555,774918,12512611,599199,1140848,6510379,5423604,1342016,895957,138480,307579
2022:Q2,pct80to99,65233114,72903592,19373894,2618853,16527129,8402851,7398502,6686304,11896058,7670478,5615116,1482041,573321
2022:Q2,pct60to80,19111330,23457888,8373154,1622531,2265460,4447585,1947512,1330022,3471624,4346558,3016141,1222581,107836
2022:Q2,pct40to60,11943901,14589830,5708605,1154666,1303346,2341749,713259,1123395,2244810,2645928,1662382,890413,93133
2022:Q2,pct20to40,6394531,7754286,3343959,730702,361788,1361104,239362,359428,1357944,1359756,728791,595090,35875
2022:Q2,pct00to20,4238996,5013440,2282653,504901,626799,221512,90860,545851,740865,774445,366068,365537,42840
2022:Q3,pct99to100,30162023,31527632,5474435,782087,11673760,580211,1088633,6442574,5485932,1365609,916845,150904,297860
2022:Q3,pct80to99,63553287,71327962,18569329,2680219,15909286,8268390,7157140,6668526,12075072,7774675,5669052,1525944,579679
2022:Q3,pct60to80,18608509,23033900,8235666,1658506,2111970,4340483,1832007,1334943,3520325,4425390,3073787,1242496,109107
2022:Q3,pct40to60,11902346,14608079,5747861,1181009,1289908,2305941,654244,1152984,2276131,2705733,1710608,898680,96445
2022:Q3,pct20to40,6384919,7764372,3310206,746168,340054,1399229,231699,367744,1369272,1379453,739580,603411,36462
2022:Q3,pct00to20,4148709,4940633,2184097,518663,620190,208120,92908,554997,761657,791924,377486,367971,46467
2022:Q4,pct99to100,30804408,32190766,5418717,790072,12321680,569090,1135446,6280388,5675373,1386358,929633,157613,299112
2022:Q4,pct80to99,64171512,71962091,18283691,2702918,16601658,8151337,7403984,6502435,12316068,7790579,5724273,1559736,506570
2022:Q4,pct60to80,18507575,22999142,7986104,1673208,2226053,4279794,1919874,1303096,3611013,4491567,3106557,1274945,110065
2022:Q4,pct40to60,11707238,14457749,5543750,1190311,1330680,2284426,688818,1114087,2305678,2750511,1736468,916071,97972
2022:Q4,pct20to40,6297765,7709304,3213680,753800,355977,1398638,240433,365361,1381415,1411539,748572,621212,41755
