Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1994:Q2,SomeCollege,6358802,2393821,1814021,579801,3964980,563903,79519,250436,187717,62719,87403,49477,37926,721038,109985,93520,203923,1106218,681044,67992,1041011,1037309,757666,250091,1969,27583,3702,5317791,23342850
1994:Q2,HS,6405310,2528929,1950299,578631,3876381,657665,57437,186244,148460,37784,53539,26214,27325,507886,121555,150760,212090,1310767,544726,73713,949875,945818,678478,239730,1725,25885,4057,5455435,30308761
1994:Q2,NoHS,2401490,987768,759262,228506,1413722,311263,9280,75406,67728,7678,12132,2883,9248,108261,42039,41737,33872,518387,232717,28629,246491,245118,159872,78728,689,5829,1372,2155000,18824201
1994:Q3,College,15059645,4648077,3671474,976603,10411568,1199733,290760,1042542,760558,281984,339030,293609,45420,2256917,241989,250956,714332,2065295,1883238,126775,1997933,1990186,1487871,355538,3915,142862,7747,13061711,25008484
1994:Q3,SomeCollege,6482461,2445345,1850042,595303,4037116,570375,82157,254885,191162,63723,81667,46743,34924,745092,113142,92985,218013,1121610,688053,69137,1069906,1066183,771790,265532,2263,26598,3723,5412555,23627285
1994:Q3,HS,6569596,2594219,1995253,598966,3975377,658814,60655,196188,157371,38817,53758,25310,28448,521593,126453,155216,225631,1347626,553698,75744,987419,983296,699374,255066,1893,26963,4123,5582177,30552901
1994:Q3,NoHS,2443337,1002514,776872,225642,1440823,306962,9134,79146,71298,7848,12471,2410,10061,108881,44353,43586,36274,531725,238982,29310,254118,252692,162509,83816,719,5648,1425,2189219,18739630
1994:Q4,College,15119663,4641899,3668167,973732,10477764,1200498,302674,1116858,809956,306901,344649,300410,44239,2214602,242492,249872,696858,2070674,1911582,127005,2027855,2020100,1497799,366377,4743,151181,7756,13091808,24851331
1994:Q4,SomeCollege,6576163,2484899,1875489,609410,4091264,575428,86449,279884,206913,72970,76098,44335,31763,751105,114291,89717,219794,1134555,693939,70003,1104487,1100747,785198,285343,2996,27209,3740,5471676,23899200
1994:Q4,HS,6702652,2649392,2034440,614952,4053260,658562,64819,218750,175059,43691,53973,24370,29604,520236,128989,156625,229310,1382368,562209,77420,1032030,1027841,718868,278085,2527,28361,4189,5670622,30790589
1994:Q4,NoHS,2472269,1009742,783701,226042,1462527,302246,9204,83151,74880,8271,12724,1986,10738,107123,46167,44822,37915,544185,245156,29835,264245,262768,164577,91363,869,5959,1477,2208024,18651424
1995:Q1,College,15327832,4628310,3653971,974339,10699522,1217799,314235,1084861,767848,317013,353293,309924,43369,2354189,247248,254301,725614,2084519,1934862,128603,2020642,2012846,1497633,361026,5073,149113,7796,13307191,24730232
1995:Q1,SomeCollege,6701140,2521921,1896924,624996,4179220,584514,90589,271754,196964,74789,70867,42325,28542,799732,116426,89821,237897,1150140,695994,71486,1117866,1114108,792410,292474,3541,25683,3758,5583274,24155899
1995:Q1,HS,6874616,2703973,2071977,631997,4170643,662479,68951,220347,175204,45144,54017,23237,30779,554890,132793,161931,246030,1421023,568111,80070,1052097,1047837,736169,279403,2926,29340,4259,5822519,31017410
1995:Q1,NoHS,2514674,1021695,792331,229364,1492979,298671,9242,86757,78314,8443,13188,1607,11582,110895,48198,46742,40409,557386,250760,30730,265973,264442,166224,91642,937,5640,1530,2248701,18557219
1995:Q2,College,15627805,4650808,3672151,978657,10976998,1246147,331980,1055365,741207,314158,359149,316570,42578,2510774,254221,263718,752969,2109416,1962893,130366,2038968,2031116,1507003,367213,5891,151008,7852,13588838,24654991
1995:Q2,SomeCollege,6836880,2563289,1927354,635935,4273591,595789,95972,260130,190699,69432,65380,40184,25195,851580,118965,92938,255214,1167158,697568,72898,1143852,1140081,803473,307295,4453,24861,3771,5693029,24394685
1995:Q2,HS,7043140,2751436,2102414,649021,4291705,668563,73791,220734,177387,43347,54378,22404,31974,592379,137158,170755,262059,1455204,574008,82675,1090211,1085883,758888,292816,3741,30438,4328,5952930,31228952
1995:Q2,NoHS,2550724,1027107,806389,220718,1523617,295576,9429,89561,81147,8414,13661,1248,12413,114904,50300,49270,42783,570265,256280,31587,273477,271894,169473,95803,1076,5543,1582,2277248,18454651
1995:Q3,College,15918992,4598044,3617860,980184,11320948,1249892,338788,1068369,735380,332988,364035,322137,41897,2709241,257617,270334,792914,2136051,2004078,129628,2074420,2066497,1524078,375259,6572,160588,7923,13844572,24635413
1995:Q3,SomeCollege,6943651,2563958,1917824,646134,4379692,598065,98698,264534,189567,74967,59767,38038,21728,911937,120261,93779,276802,1181546,701616,72689,1173650,1169872,815369,323644,5374,25485,3778,5770001,24612862
1995:Q3,HS,7162868,2748005,2085145,662860,4414863,665448,77211,229815,183282,46533,54862,21679,33183,637266,140065,176973,281403,1486722,582155,82942,1129621,1125228,779162,309680,4567,31819,4393,6033247,31420803
1995:Q3,NoHS,2558139,1008153,792308,215846,1549986,289875,9270,92654,83987,8667,14158,914,13244,119774,52052,51251,45317,582030,262075,31530,281440,279808,171729,101016,1185,5877,1632,2276700,18341355
1995:Q4,College,16450463,4650736,3658296,992440,11799727,1264434,357231,1090349,728049,362300,378789,338147,40642,2958292,266759,277643,833952,2203790,2037175,131313,2103256,2095100,1533912,395155,9435,156599,8156,14347207,24678437
1995:Q4,SomeCollege,7140205,2610264,1957176,653088,4529941,603919,103576,286985,195418,91566,63097,40935,22162,959321,122529,99379,294511,1206201,716238,74185,1216912,1213100,835919,343978,6898,26305,3812,5923293,24808306
1995:Q4,HS,7244817,2754246,2087845,666401,4490570,671002,79218,232577,176941,55636,54980,22739,32241,680816,141584,175281,290900,1489425,591206,83580,1148562,1144153,780596,323893,6522,33142,4409,6096255,31589764
1995:Q4,NoHS,2515940,1003308,785931,217377,1512633,283501,9716,90337,79778,10559,15207,2019,13188,119644,49333,48788,46116,566944,251901,31146,283727,282183,170081,105134,1576,5392,1545,2232213,18215892
1996:Q1,College,16865886,4706608,3697670,1008938,12159277,1303198,395307,1081830,715139,366691,383513,344113,39401,3092551,273077,285605,874427,2273825,2063663,132280,2143728,2135333,1559149,398436,6808,170940,8395,14722158,24779532
1996:Q1,SomeCollege,7288525,2656365,1995147,661218,4632160,615773,112452,292632,198740,93892,65623,43058,22565,976974,123703,104997,311217,1227947,725802,75040,1251709,1247871,862519,349268,5257,30827,3839,6036815,24981180
1996:Q1,HS,7312319,2781389,2110677,670712,4530930,682649,83091,227343,169049,58293,55983,24733,31250,699309,141798,173483,299099,1488495,596369,83309,1144036,1139621,787303,313228,3886,35204,4415,6168284,31737491
1996:Q1,NoHS,2479745,1008742,787168,221574,1471003,278774,10669,87502,75444,12058,16276,3193,13084,116049,46368,46333,46737,550887,240980,30428,279822,278366,169888,101275,1261,5943,1455,2199923,18080526
1996:Q2,College,17287489,4784702,3760230,1024472,12502787,1306996,387687,1129059,749445,379614,371801,333638,38163,3250872,282105,293252,901726,2347647,2098074,133568,2189261,2180602,1588282,412287,9659,170374,8659,15098229,24931301
1996:Q2,SomeCollege,7426094,2701099,2036839,664260,4724995,615383,110931,316495,215777,100717,66851,43908,22943,998036,125313,109982,321950,1247874,736321,75859,1293587,1289726,887437,363341,6727,32222,3860,6132507,25132215
1996:Q2,HS,7350739,2787098,2114835,672263,4563641,682061,81594,233635,170675,62960,58672,28452,30220,720999,142590,170910,302341,1485429,602377,83036,1153441,1149024,788515,318444,5495,36570,4418,6197298,31866854
