Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q4,Other,3894830,5275001,1544301,363213,700977,787800,477312,464081,937317,1380171,1064542,282657,32972
2012:Q1,White,57236413,67250764,14746359,3713292,12355801,10273845,5573442,6124411,14463614,10014351,7455427,1938551,620373
2012:Q1,Black,2723166,3688802,941247,316283,180901,1300240,341922,153630,454579,965636,607331,342690,15615
2012:Q1,Hispanic,1259497,2020750,712192,279209,133422,327872,168493,173536,226025,761253,567069,184956,9228
2012:Q1,Other,4049351,5416314,1537107,370130,784299,808256,514182,469244,933096,1366964,1056485,278844,31635
2012:Q2,White,57305736,67309761,14902634,3731263,11974796,10334497,5488942,6262330,14615299,10004025,7407947,1980182,615896
2012:Q2,Black,2723540,3691936,938557,311918,185688,1312062,328934,162048,452729,968396,606498,347597,14301
2012:Q2,Hispanic,1248882,1995955,722222,276196,130506,315962,155435,177287,218347,747073,556270,182302,8501
2012:Q2,Other,4057088,5416024,1558586,369587,728683,821083,507903,484525,945657,1358936,1048023,280387,30526
2012:Q3,White,58949581,68957262,15096290,3748351,12734317,10425951,5686641,6463406,14802305,10007680,7356864,2029097,621719
2012:Q3,Black,2767977,3749752,939673,309283,199842,1328552,351285,173119,447998,981775,615189,353102,13484
2012:Q3,Hispanic,1245320,1991051,729065,272949,135177,305336,152197,183341,212986,745731,553464,183909,8358
2012:Q3,Other,4193778,5548562,1594753,370024,760280,838891,529631,505125,949859,1354785,1040910,284345,29530
2012:Q4,White,59624201,69640372,15234304,3773746,12831109,10502371,5741418,6553120,15004304,10016171,7335405,2084879,595887
2012:Q4,Black,2810397,3787750,934552,310514,209013,1343906,356690,180129,452947,977353,601624,365178,10551
2012:Q4,Hispanic,1263436,1978637,734905,270351,135528,294246,144003,185480,214125,715202,532439,176291,6472
2012:Q4,Other,4272687,5622242,1630115,372829,740799,855048,537591,517289,968571,1349555,1035117,286557,27881
2013:Q1,White,62017816,71967682,15559548,3791986,14417171,10787538,6015360,6642094,14753984,9949866,7245316,2088831,615719
2013:Q1,Black,2904038,3901900,937795,316310,230365,1389829,390193,187447,449962,997862,633796,353427,10639
2013:Q1,Hispanic,1256066,1996951,752376,266855,145543,292148,143116,187801,209112,740885,548687,185095,7103
2013:Q1,Other,4543720,5884646,1692852,377939,835696,903507,567277,529924,977451,1340926,1027193,286420,27313
2013:Q2,White,62779011,72750918,15946011,3801300,14618350,11034489,6066261,6939292,14345216,9971907,7208636,2131385,631886
2013:Q2,Black,2982191,3990305,952876,313372,241336,1430580,396503,203572,452066,1008114,638724,358745,10645
2013:Q2,Hispanic,1292735,2025399,785115,263904,146846,292283,134641,198005,204604,732663,543012,182214,7437
2013:Q2,Other,4711494,6050226,1755673,378244,824377,960754,575576,559946,995656,1338731,1023691,287849,27191
2013:Q3,White,64755420,74760285,16335807,3819118,15385718,11297090,6309155,7243215,14370181,10004866,7199213,2185031,620622
2013:Q3,Black,3081337,4108657,965248,307296,257380,1476510,429107,220751,452365,1027320,649985,368626,8709
2013:Q3,Hispanic,1346422,2079513,826557,262821,151976,293722,132818,208961,202658,733091,543043,183472,6576
2013:Q3,Other,4942972,6287778,1825450,377227,857330,1022042,603465,591484,1010780,1344806,1026341,293168,25297
2013:Q4,White,66358438,76478159,16578141,3823627,16241845,11557514,6594154,7386269,14296608,10119721,7171611,2212120,735990
2013:Q4,Black,3207926,4257742,999557,311113,261332,1517383,466489,220152,481716,1049816,650681,383429,15706
2013:Q4,Hispanic,1435366,2188531,838168,266112,174335,317199,157339,207343,228035,753165,547614,192272,13279
2013:Q4,Other,5134282,6497563,1871916,376481,908470,1073812,639054,591205,1036624,1363281,1027218,302647,33416
2014:Q1,White,67837219,77923351,16780604,3814698,17162911,11617512,6651417,7382178,14514031,10086132,7135540,2199432,751160
2014:Q1,Black,3293467,4343518,1022960,318715,266605,1533083,475094,214192,512868,1050051,643931,389292,16828
2014:Q1,Hispanic,1535489,2297108,865763,268250,197422,333219,174345,201016,257093,761619,546267,200397,14955
2014:Q1,Other,5288199,6661139,1911725,377405,966234,1097464,652964,580215,1075132,1372940,1026741,307694,38505
2014:Q2,White,69483181,79587233,17086184,3821883,18063310,11680859,6789603,7626452,14518942,10104052,7117839,2230459,755754
2014:Q2,Black,3399362,4464876,1063586,324779,272411,1551684,495311,218841,538264,1065514,639483,408462,17569
2014:Q2,Hispanic,1656710,2427385,902500,272846,220782,350218,194436,204245,282358,770676,547283,207322,16071
2014:Q2,Other,5453341,6845540,1954046,378035,1024030,1123305,675655,590272,1100196,1392199,1030400,317759,44040
2014:Q3,White,69850599,79885200,17360627,3836349,17737512,11720542,6723554,7880148,14626468,10034601,7106799,2264431,663371
2014:Q3,Black,3473850,4555430,1099955,336991,268741,1568769,489141,224318,567514,1081579,639864,429403,12312
2014:Q3,Hispanic,1756514,2539699,934133,278018,235871,366956,207480,208237,309004,783184,552529,218483,12172
2014:Q3,Other,5519474,6933941,2000983,382170,987779,1147084,678450,602026,1135449,1414467,1036725,330629,47113
2014:Q4,White,70914234,80951668,17516508,3835789,18342579,11773046,6806162,8087533,14590051,10037434,7096783,2292566,648085
2014:Q4,Black,3562001,4663881,1129875,348458,273038,1589094,503639,228265,591512,1101880,641521,448548,11811
2014:Q4,Hispanic,1858299,2656729,959930,281982,257679,384846,226157,210874,335262,798431,558986,227096,12349
2014:Q4,Other,5662476,7100416,2039401,385531,1025268,1174147,696870,610875,1168325,1437940,1044178,341330,52432
2015:Q1,White,72041925,82016915,17726948,3838177,18706258,11812716,6872310,8249169,14811337,9974989,7052308,2271403,651278
2015:Q1,Black,3666150,4773042,1159210,359017,275605,1608375,516035,230600,624200,1106892,641642,452507,12743
2015:Q1,Hispanic,1974669,2789023,996356,286568,277901,402658,244277,212076,369187,814354,563853,236913,13588
2015:Q1,Other,5821752,7273243,2090143,388577,1045083,1200405,714016,616740,1218278,1451490,1046679,346243,58568
2015:Q2,White,72496709,82510996,18037539,3869177,18757085,11840042,6847423,8508185,14651545,10014287,7052770,2301212,660305
2015:Q2,Black,3747296,4883637,1203916,376195,275625,1626081,517043,237136,647642,1136341,650409,471662,14270
2015:Q2,Hispanic,2077813,2916540,1036596,293668,295675,420240,259252,216975,394133,838727,576444,247043,15240
2015:Q2,Other,5922194,7403246,2138497,396046,1041273,1225697,722370,631149,1248214,1481052,1058027,357835,65190
2015:Q3,White,71478296,81517396,18331195,3888162,17254968,11841025,6545706,8664025,14992315,10039100,7058412,2337670,643018
2015:Q3,Black,3766493,4933090,1249569,378813,261704,1639443,480914,239500,683147,1166597,658959,493556,14082
2015:Q3,Hispanic,2152728,3016977,1076507,301018,299861,436789,263377,218142,421283,864249,588922,259763,15564
2015:Q3,Other,5884436,7398224,2197214,395703,916575,1247580,701969,637676,1301506,1513789,1070573,372115,71101
2015:Q4,White,72577188,82580991,18533976,3902320,17909743,11884075,6692741,8714562,14943574,10003802,7084426,2280784,638592
2015:Q4,Black,3878646,5045762,1283995,384189,266921,1658392,504955,237466,709844,1167116,666061,485188,15867
2015:Q4,Hispanic,2265508,3147038,1110950,307336,321915,455072,284582,215391,451792,881530,600385,264492,16653
2015:Q4,Other,6041041,7576540,2251385,396781,960805,1276529,728487,635951,1326603,1535499,1086424,369759,79316
2016:Q1,White,73390356,83352836,18705139,3922508,18154413,11916528,6749245,8667658,15237345,9962480,7059999,2270279,632202
2016:Q1,Black,3971656,5150050,1314888,398783,268304,1674308,516125,231272,746370,1178393,670664,490798,16931
2016:Q1,Hispanic,2365843,3267314,1145491,312968,340010,472581,301859,208948,485457,901471,609041,274631,17799
2016:Q1,Other,6168183,7724667,2295872,402985,973424,1304090,745544,626439,1376313,1556484,1093985,376515,85984
2016:Q2,White,74585969,84586171,19094491,3942816,18658762,11961828,6836462,8902322,15189490,10000202,7067096,2297120,635986
2016:Q2,Black,4085124,5292063,1361531,419094,271897,1695142,531595,236590,776214,1206939,681576,507192,18171
2016:Q2,Hispanic,2464048,3391204,1184722,317474,360055,487013,320111,212534,509295,927155,623036,284489,19630
2016:Q2,Other,6324244,7911796,2355271,412341,1006695,1325469,766108,640201,1405711,1587552,1107602,388020,91930
2016:Q3,White,75786351,85856668,19433924,3963718,19204245,12015850,6993397,9076299,15169236,10070317,7095200,2335558,639559
2016:Q3,Black,4159740,5397510,1401478,414383,275603,1714893,555570,239113,796470,1237770,690943,527431,19396
2016:Q3,Hispanic,2591407,3544646,1247358,324156,379891,500988,340567,213571,538116,953239,635678,296014,21547
2016:Q3,Other,6465866,8090680,2419876,408935,1043378,1347915,794138,649024,1427414,1624814,1124267,402617,97930
2016:Q4,White,76144112,86248832,19689932,3986644,19359228,12078780,7001321,9054644,15078283,10104720,7103780,2378569,622371
2016:Q4,Black,4204868,5461383,1436029,410379,278946,1737777,566584,236147,795520,1256515,697352,542527,16636
2016:Q4,Hispanic,2575663,3538832,1250929,328601,362688,512946,341344,213316,529008,963169,644019,298870,20280
2016:Q4,Other,6666522,8322609,2525986,411103,1122392,1333277,800086,678352,1451413,1656087,1146899,416470,92718
2017:Q1,White,77997913,88125521,19963249,4020401,20423197,12171627,7252105,9038126,15256816,10127608,7117953,2368910,640745
2017:Q1,Black,4312865,5568819,1452222,414193,290194,1762507,612072,232890,804741,1255955,700571,539281,16103
2017:Q1,Hispanic,2603558,3573752,1275108,332630,352287,525191,351683,212791,524062,970194,649396,299872,20926
2017:Q1,Other,7008286,8688030,2628240,417978,1279350,1322307,833160,708475,1498520,1679743,1169660,422355,87728
2017:Q2,White,79468654,89683810,20324559,4040666,20998988,12261513,7413892,9433983,15210209,10215156,7146457,2399648,669051
2017:Q2,Black,4399899,5671708,1482362,409768,296353,1783816,644620,246582,808206,1271809,705522,548469,17818
2017:Q2,Hispanic,2623042,3601859,1303019,335295,335747,536321,357563,226971,506944,978817,656021,300621,22175
2017:Q2,Other,7313276,9027708,2729194,420340,1400348,1309691,856556,775164,1536415,1714431,1194872,433992,85567
2017:Q3,White,80751921,91050534,20668161,4056849,21645861,12354900,7613967,9496284,15214512,10298613,7184761,2438117,675735
2017:Q3,Black,4463916,5751759,1506372,401349,302587,1802766,682007,245757,810920,1287843,712351,558940,16552
2017:Q3,Hispanic,2627498,3617510,1327908,337265,318437,546685,364267,228558,494390,990012,664034,303923,22055
2017:Q3,Other,7613573,9364061,2843435,420689,1531160,1296533,884402,813736,1574106,1750488,1221909,448223,80356
2017:Q4,White,82684658,93104332,20918942,4104003,22775161,12454495,7847854,9620470,15383406,10419674,7218576,2488798,712300
2017:Q4,Black,4528267,5836329,1522312,397313,312510,1819822,723864,247130,813378,1308063,717570,572583,17910
2017:Q4,Hispanic,2636082,3635883,1346485,341667,303632,556470,371703,232083,483843,999801,670529,305649,23623
2017:Q4,Other,7983194,9771523,2958794,424652,1708322,1283338,916376,858557,1621483,1788329,1247829,463722,76778
2018:Q1,White,83430364,93881753,21351766,4152542,22660788,12543763,7793554,9687917,15691424,10451389,7233710,2479963,737716
2018:Q1,Black,4574705,5873834,1543667,399238,310856,1832342,722738,245667,819327,1299129,714150,565986,18993
2018:Q1,Hispanic,2642403,3641254,1374372,345016,278302,565046,367038,233220,478260,998851,669767,304560,24524
2018:Q1,Other,8258046,10069877,3099600,432084,1779009,1267326,915384,898946,1677528,1811831,1268912,469374,73545
2018:Q2,White,84449257,94983527,21627982,4197774,23001246,12645298,7885594,9826513,15799120,10534270,7280849,2505133,748288
2018:Q2,Black,4615899,5921106,1557870,397507,312709,1844025,741983,246829,820183,1305206,715624,569614,19968
2018:Q2,Hispanic,2629756,3631134,1388754,347903,255803,573483,367812,236710,460669,1001377,673370,303336,24671
2018:Q2,Other,8525226,10373235,3187588,437717,1892651,1252397,931166,946664,1725052,1848009,1296216,480112,71681
2018:Q3,White,86089166,96735710,21877508,4233560,23996347,12761166,8086176,9895335,15885619,10646544,7337105,2553308,756131
2018:Q3,Black,4658541,5976190,1567984,392839,319638,1855231,775592,244635,820271,1317649,718853,579754,19042
