Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1997:Q2,pct80to99,15756823,4579539,3596526,983012,11177284,1096028,279232,603940,440576,163364,180038,146740,33297,2842115,292787,340523,1136601,2517004,1760487,128530,2224591,2216172,1671251,401179,13330,130413,8419,13532231,19202089,,
1997:Q2,pct60to80,6852831,2576421,1972890,603531,4276410,510806,88852,151370,108574,42796,41585,20436,21150,673885,150137,185991,402685,1589267,404466,77366,1368127,1363811,963133,357058,6070,37551,4315,5484704,20209401,,
1997:Q2,pct40to60,4100724,1668488,1257362,411126,2432237,409903,41764,87790,66123,21668,57671,45280,12391,320307,78033,70274,165549,889672,260480,50794,747076,744878,466057,265256,4538,9027,2198,3353649,20213637,,
1997:Q2,pct20to40,2810272,1213576,941314,272262,1596697,376441,48692,78871,56910,21960,12888,5595,7293,218567,47421,15698,59045,534451,170159,34462,398139,396764,231107,151430,1733,12494,1375,2412134,20213054,,
1997:Q2,pct00to20,1324302,634679,500960,133719,689623,166065,17822,31394,20410,10984,14160,11722,2439,67846,19130,2554,17986,193675,141226,17765,170390,169839,80180,85101,1078,3479,551,1153913,20205395,,
1997:Q3,pct99to100,6744397,1100975,842767,258207,5643422,362286,208293,733657,521090,212567,245887,227544,18343,2279924,64943,25043,267270,190661,1239380,26079,325747,323886,218091,18571,3377,83847,1861,6418650,1014030,,
1997:Q3,pct80to99,16241447,4628007,3630596,997411,11613440,1110423,286045,612702,437950,174752,176304,143924,32380,3064061,305902,352021,1228255,2537592,1809175,130960,2276567,2267962,1707336,407177,7915,145533,8605,13964880,19259051,,
1997:Q3,pct60to80,7042261,2609377,2002234,607143,4432884,511362,95110,154903,106991,47912,38361,17174,21187,716409,152994,198792,445119,1633230,408106,78499,1401581,1397261,986624,367630,3634,39373,4320,5640680,20269294,,
1997:Q3,pct40to60,4180269,1697482,1279091,418391,2482787,410000,43249,88666,67138,21529,59170,46670,12500,335829,80274,72663,180558,892625,267970,51782,765872,763653,480656,271642,2381,8975,2219,3414396,20273969,,
1997:Q3,pct20to40,2861316,1227852,952961,274891,1633464,382581,50558,80839,56993,23846,14485,6852,7633,229311,47242,16599,60299,542153,174440,34957,401868,400518,234864,154092,816,10746,1350,2459448,20273394,,
1997:Q3,pct00to20,1335884,639620,505670,133950,696264,169722,18752,32407,20064,12344,15711,13512,2199,71453,19582,2383,16877,196055,135257,18065,172381,171833,81709,86693,417,3014,549,1163503,20264688,,
1997:Q4,pct99to100,6892740,1118672,853330,265342,5774068,366885,219718,745028,534969,210059,257746,240527,17219,2329163,61363,24964,262523,196986,1283792,25900,336147,334390,221964,20267,5193,86966,1757,6556593,1016991,,
1997:Q4,pct80to99,16510106,4704310,3699568,1004742,11805796,1132596,293840,606845,441714,165131,179520,148095,31426,3142110,314473,346333,1234069,2547917,1876439,131655,2306849,2298055,1722681,416142,13279,145952,8794,14203257,19316064,,
1997:Q4,pct60to80,7157789,2641980,2032536,609444,4515809,513917,101621,157383,110685,46698,37329,16151,21178,731575,154712,203012,450236,1672332,415215,78476,1426437,1422111,993878,381326,5920,40988,4326,5731352,20329246,,
1997:Q4,pct40to60,4221013,1715022,1295795,419227,2505991,412035,44803,87569,70473,17096,59782,47265,12517,342527,81691,71021,180974,893613,280296,51680,783112,780872,488253,280392,3687,8540,2240,3437902,20334222,,
1997:Q4,pct20to40,2883270,1224393,943483,280910,1658878,389635,52501,81868,58165,23703,14984,7094,7890,235148,46992,16684,58155,549641,178572,34696,408686,407361,236988,159462,1523,9388,1325,2474585,20333791,,
1997:Q4,pct00to20,1346668,643874,505577,138296,702794,173465,19690,35358,22525,12832,18061,16161,1900,72368,19588,2071,16392,198130,129705,17966,173837,173291,82595,86577,788,3331,546,1172830,20324034,,
1998:Q1,pct99to100,7350820,1132615,870524,262091,6218204,359817,240923,735850,521019,214831,272857,256787,16070,2717343,58775,25618,281553,205943,1293658,25867,342846,341255,226750,18661,5615,90229,1591,7007974,1019929,,
1998:Q1,pct80to99,17281078,4784774,3767366,1017408,12496304,1130150,317752,621129,434852,186277,184979,154528,30452,3570260,325220,361947,1354198,2587074,1910526,133070,2328116,2319183,1745439,406313,14902,152528,8933,14952963,19373005,,
